Category,NumBooks
Science,30
Art,90
Art,53
Art,8
History,62
Cooking,18
Science,64
History,14
Science,93
Science,21
Art,4
History,4
History,89
Science,2
History,7
Science,91
Art,50
History,59
History,9
Science,76
Art,60
Science,72
Science,2
Science,88
Art,84
Science,38
Science,3
Cooking,44
Science,75
History,15
History,42
Cooking,63
Cooking,72
Cooking,93
History,21
Cooking,78
Cooking,54
History,64
Science,15
Science,22
History,18
Cooking,62
Art,6
History,39
Science,22
Science,60
Cooking,15
History,3
Art,78
History,62
Cooking,74
Science,21
History,73
Art,35
History,60
Science,24
Art,36
Art,54
Science,83
Science,89
Cooking,95
Art,2
History,47
History,55
Science,61
History,92
Art,81
History,80
Art,2
Science,88
Art,44
Science,87
Science,52
Science,75
Art,4
Art,47
History,51
Science,53
Science,49
History,51
Art,92
Science,58
Science,33
History,60
Cooking,34
Cooking,90
Cooking,14
History,62
Art,71
Cooking,48
